Date,Product,y,월,일,요일,년월,공휴일여부,소비자물가지수(2020＝100)_전국,기업경기실사지수(실적)_제 조 업,기업경기실사지수(전망)_제 조 업,경제심리지수_경제심리지수(순환변동치),경제심리지수_경제심리지수(원계열),설비투자지수_총지수,수입물가지수(기본분류)_총지수,수출물가지수(기본분류)_총지수,평균기온(°C),일강수량(mm),평균 풍속(m/s),Pred
2022-08-01,Office supplies,310.0,8,1,0,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,32.0,1.8,26.93781190905412
2022-08-02,Office supplies,67.0,8,2,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.1,49.0,1.9,420.5544674153965
2022-08-03,Office supplies,91.0,8,3,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.0,49.0,1.9,350.9465028355228
2022-08-04,Office supplies,28.0,8,4,3,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.6,0.5,1.4,284.2922803383709
2022-08-05,Office supplies,8.0,8,5,4,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.9,0.0,1.6,244.8478913492001
2022-08-06,Office supplies,0.0,8,6,5,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.8,2.5,1.2,181.22425766910897
2022-08-07,Office supplies,0.0,8,7,6,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,1.0,1.6,117.93508486301931
2022-08-08,Office supplies,169.0,8,8,0,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.2,381.5,2.1,56.60127993765906
2022-08-09,Office supplies,177.0,8,9,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.3,134.0,1.5,202.24189721448465
2022-08-10,Office supplies,240.0,8,10,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.9,11.5,0.9,284.5442282513534
2022-08-11,Office supplies,10.0,8,11,3,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.2,50.5,0.9,299.6164612250715
2022-08-12,Office supplies,169.5,8,12,4,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.2,0.0,0.9,211.0883612424994
2022-08-13,Office supplies,3.0,8,13,5,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.2,3.5,0.9,175.00125665265296
2022-08-14,Office supplies,0.0,8,14,6,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.4,0.5,1.3,114.64458843159446
2022-08-15,Office supplies,0.0,8,15,0,Aug-22,1,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.7,1.5,3.2,49.73399586598822
2022-08-16,Office supplies,1099.0,8,16,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.4,0.0,1.5,139.0060567598897
2022-08-17,Office supplies,70.0,8,17,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.5,0.0,1.0,357.2157980199512
2022-08-18,Office supplies,205.0,8,18,3,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.8,0.0,1.1,294.24053735356415
2022-08-19,Office supplies,2.0,8,19,4,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.7,37.5,1.6,233.62160188885366
2022-08-20,Office supplies,0.0,8,20,5,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.0,0.0,1.2,146.34374097105268
2022-08-21,Office supplies,0.0,8,21,6,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.1,0.0,1.0,103.3014340917536
2022-08-22,Office supplies,92.0,8,22,0,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.5,1.5,1.4,41.202798944509595
2022-08-23,Office supplies,7.5,8,23,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.3,3.5,1.3,405.6036439696891
2022-08-24,Office supplies,271.0,8,24,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.8,0.0,1.7,343.2280050272723
2022-08-25,Office supplies,929.0,8,25,3,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,22.2,1.5,0.8,284.64922071581213
2022-08-26,Office supplies,4.0,8,26,4,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.9,0.0,1.2,232.38559526924405
2022-08-27,Office supplies,0.0,8,27,5,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,21.7,0.5,1.9,166.625034584913
2022-08-28,Office supplies,0.0,8,28,6,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.0,0.0,1.3,107.43257605226131
2022-08-29,Office supplies,108.0,8,29,0,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,20.6,2.0,1.5,43.270954160215354
2022-08-30,Office supplies,253.0,8,30,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,18.2,32.5,1.8,408.63940732999293
2022-08-31,Office supplies,79.0,8,31,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,21.1,0.0,1.1,331.7840459494306
2022-09-01,Office supplies,728.0,9,1,3,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.4,0.0,1.2,283.72502576593666
2022-09-02,Office supplies,165.0,9,2,4,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.6,0.0,2.3,259.7064069005687
2022-09-03,Office supplies,44.0,9,3,5,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.9,0.0,2.8,195.1543597125629
2022-09-04,Office supplies,0.0,9,4,6,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,22.2,22.5,2.1,133.12010379558433
2022-09-05,Office supplies,95.0,9,5,0,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,18.3,126.5,2.4,61.04981348242069
2022-09-06,Office supplies,21.0,9,6,1,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.5,27.0,2.3,352.798498138261
2022-09-07,Office supplies,332.0,9,7,2,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.1,0.0,1.0,354.82738942661695
2022-09-08,Office supplies,271.0,9,8,3,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.4,0.0,1.1,311.6193452269193
2022-09-09,Office supplies,0.0,9,9,4,Sep-22,1,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.7,0.0,1.5,249.137772746061
2022-09-10,Office supplies,0.0,9,10,5,Sep-22,1,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.8,0.0,1.4,0.0
2022-09-11,Office supplies,0.0,9,11,6,Sep-22,1,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.2,0.0,1.5,0.0
2022-09-12,Office supplies,0.0,9,12,0,Sep-22,1,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.1,0.0,1.0,0.0
2022-09-13,Office supplies,1186.0,9,13,1,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.3,0.0,1.8,159.12207461836147
2022-09-14,Office supplies,698.0,9,14,2,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.4,0.0,3.2,368.60749241302426
2022-09-15,Office supplies,297.0,9,15,3,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,25.1,0.5,2.0,309.8851109549411
2022-09-16,Office supplies,38.5,9,16,4,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,25.6,13.0,2.1,247.22113514274767
2022-09-17,Office supplies,957.0,9,17,5,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,25.5,2.5,0.9,173.35037883581973
2022-09-18,Office supplies,0.0,9,18,6,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,27.1,0.0,1.5,126.86532617100448
2022-09-19,Office supplies,210.5,9,19,0,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.8,0.0,2.2,62.90710179876211
2022-09-20,Office supplies,310.0,9,20,1,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.0,0.0,1.5,425.8093238891952
2022-09-21,Office supplies,550.5,9,21,2,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,19.8,0.0,1.2,375.1935600119632
2022-09-22,Office supplies,257.0,9,22,3,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,19.9,0.0,1.2,316.34308599329904
2022-09-23,Office supplies,752.0,9,23,4,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,17.6,1.5,1.7,254.4415479046837
2022-09-24,Office supplies,540.0,9,24,5,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,18.5,0.0,1.3,199.86624892161936
2022-09-25,Office supplies,0.0,9,25,6,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.3,0.0,1.0,141.148525367585
2022-09-26,Office supplies,76.5,9,26,0,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.5,0.0,0.9,75.9947368696534
2022-09-27,Office supplies,152.0,9,27,1,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,21.4,0.0,1.1,432.5388470174767
2022-09-28,Office supplies,1072.0,9,28,2,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.6,0.0,1.1,367.558390335935
2022-09-29,Office supplies,177.0,9,29,3,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.4,0.0,0.8,313.8248911989687
2022-09-30,Office supplies,23.5,9,30,4,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,21.3,0.0,0.8,253.17997411561214
2022-10-01,Office supplies,180.0,10,1,5,Oct-22,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,21.4,0.0,0.9,188.55120996271157
2022-10-02,Office supplies,0.0,10,2,6,Oct-22,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,19.4,11.0,2.2,146.11422238715153
2022-10-03,Office supplies,51.0,10,3,0,Oct-22,1,109.21,72,75,95.5,95.4,126.1,123.78,105.23,21.3,70.0,1.9,78.28522080078045
