Date,Product,y,월,일,요일,년월,공휴일여부,소비자물가지수(2020＝100)_전국,기업경기실사지수(실적)_제 조 업,기업경기실사지수(전망)_제 조 업,경제심리지수_경제심리지수(순환변동치),경제심리지수_경제심리지수(원계열),설비투자지수_총지수,수입물가지수(기본분류)_총지수,수출물가지수(기본분류)_총지수,평균기온(°C),일강수량(mm),평균 풍속(m/s),Pred
2022-08-01,Packaging material,236.81,8,1,0,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,32.0,1.8,89.67644875258607
2022-08-02,Packaging material,96.45,8,2,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.1,49.0,1.9,544.4721463240741
2022-08-03,Packaging material,261.35,8,3,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.0,49.0,1.9,463.59142981726586
2022-08-04,Packaging material,322.15,8,4,3,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.6,0.5,1.4,425.71172380339624
2022-08-05,Packaging material,357.55,8,5,4,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.9,0.0,1.6,397.27626053944766
2022-08-06,Packaging material,165.35,8,6,5,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.8,2.5,1.2,344.7712699093278
2022-08-07,Packaging material,24.45,8,7,6,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,1.0,1.6,263.07531116868165
2022-08-08,Packaging material,470.7,8,8,0,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.2,381.5,2.1,190.9886259146782
2022-08-09,Packaging material,381.8,8,9,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.3,134.0,1.5,414.8943627092465
2022-08-10,Packaging material,785.27,8,10,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.9,11.5,0.9,433.19076436305886
2022-08-11,Packaging material,471.9,8,11,3,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.2,50.5,0.9,477.8407614323183
2022-08-12,Packaging material,363.95,8,12,4,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.2,0.0,0.9,363.89900522227117
2022-08-13,Packaging material,0.0,8,13,5,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.2,3.5,0.9,316.7624139541444
2022-08-14,Packaging material,0.0,8,14,6,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.4,0.5,1.3,215.10053495663152
2022-08-15,Packaging material,238.4,8,15,0,Aug-22,1,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.7,1.5,3.2,161.55276612076312
2022-08-16,Packaging material,391.6,8,16,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.4,0.0,1.5,274.5764550802952
2022-08-17,Packaging material,291.4,8,17,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.5,0.0,1.0,455.94962094854554
2022-08-18,Packaging material,490.08,8,18,3,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.8,0.0,1.1,389.2450686418
2022-08-19,Packaging material,202.84,8,19,4,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.7,37.5,1.6,359.0721774287154
2022-08-20,Packaging material,151.75,8,20,5,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.0,0.0,1.2,248.702306331456
2022-08-21,Packaging material,138.0,8,21,6,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.1,0.0,1.0,203.6925297768912
2022-08-22,Packaging material,300.625,8,22,0,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.5,1.5,1.4,146.21737352570156
2022-08-23,Packaging material,232.15,8,23,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.3,3.5,1.3,469.5319283803139
2022-08-24,Packaging material,536.8,8,24,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.8,0.0,1.7,407.0813279368511
2022-08-25,Packaging material,289.15,8,25,3,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,22.2,1.5,0.8,389.76107674788517
2022-08-26,Packaging material,176.6,8,26,4,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.9,0.0,1.2,300.94614331928943
2022-08-27,Packaging material,28.05,8,27,5,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,21.7,0.5,1.9,233.30171512625643
2022-08-28,Packaging material,22.4,8,28,6,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.0,0.0,1.3,157.85149885224624
2022-08-29,Packaging material,500.6,8,29,0,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,20.6,2.0,1.5,103.01808461506407
2022-08-30,Packaging material,42.3,8,30,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,18.2,32.5,1.8,466.7999818080573
2022-08-31,Packaging material,132.35,8,31,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,21.1,0.0,1.1,339.7118483949532
2022-09-01,Packaging material,474.25,9,1,3,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.4,0.0,1.2,312.3873987911165
2022-09-02,Packaging material,426.64,9,2,4,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.6,0.0,2.3,452.2852719557783
2022-09-03,Packaging material,326.55,9,3,5,Sep-22,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.9,0.0,2.8,385.10477868023105
