Date,Product,y,월,일,요일,년월,공휴일여부,소비자물가지수(2020＝100)_전국,기업경기실사지수(실적)_제 조 업,기업경기실사지수(전망)_제 조 업,경제심리지수_경제심리지수(순환변동치),경제심리지수_경제심리지수(원계열),설비투자지수_총지수,수입물가지수(기본분류)_총지수,수출물가지수(기본분류)_총지수,평균기온(°C),일강수량(mm),평균 풍속(m/s),Pred
2022-08-01,Pharmaceuticals,1753.0,8,1,0,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,32.0,1.8,565.8139074766094
2022-08-02,Pharmaceuticals,474.0,8,2,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.1,49.0,1.9,3747.8945787856765
2022-08-03,Pharmaceuticals,27.0,8,3,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.0,49.0,1.9,3197.1134684441195
2022-08-04,Pharmaceuticals,3.0,8,4,3,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.6,0.5,1.4,2796.0986140797513
2022-08-05,Pharmaceuticals,7.0,8,5,4,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.9,0.0,1.6,2618.240388710791
2022-08-06,Pharmaceuticals,0.0,8,6,5,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.8,2.5,1.2,2181.0210198299146
2022-08-07,Pharmaceuticals,68.0,8,7,6,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,1.0,1.6,1662.8541739429816
2022-08-08,Pharmaceuticals,205.0,8,8,0,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.2,381.5,2.1,1204.2466324264003
2022-08-09,Pharmaceuticals,1753.0,8,9,1,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.3,134.0,1.5,1111.9570834089745
2022-08-10,Pharmaceuticals,1317.0,8,10,2,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.9,11.5,0.9,2304.2499132909848
2022-08-11,Pharmaceuticals,1753.0,8,11,3,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.2,50.5,0.9,2607.5821810047846
2022-08-12,Pharmaceuticals,2628.0,8,12,4,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.2,0.0,0.9,2042.7753670095847
2022-08-13,Pharmaceuticals,0.0,8,13,5,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.2,3.5,0.9,1986.2034405733912
2022-08-14,Pharmaceuticals,0.0,8,14,6,Aug-22,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.4,0.5,1.3,1114.4183419160204
