,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.7954,182.0385,148.5641,-15.6652,-12.7846,0.217
eIMF_2,1.7925,62.7585,50.9618,-8.0293,-6.5201,0.8126
eIMF_3,0.3157,10.0991,7.9758,-8.8262,-6.9705,0.9872
eIMF_4,0.0407,1.2663,0.9401,0.6752,0.5012,0.9995
eIMF_5,0.0104,0.4074,0.3228,0.1179,0.0934,1.0
eIMF_6,0.101,0.7838,0.6136,-0.1526,-0.1195,0.9993
eIMF_7,0.0056,0.0771,0.056,-0.0056,-0.0041,0.9999
eIMF_8,0.0002,0.0038,0.0037,-0.0002,-0.0002,1.0
eIMF_9,0.0,0.0007,0.0004,0.0,0.0,1.0
eIMF_10,0.0,0.0,0.0,0.0,0.0,1.0
eIMF_11,0.0396,8.0099,6.2923,-0.0489,-0.0384,-0.7716
All,20.0271,172.7413,122.3147,0.7926,0.5612,0.6602
