,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,2.0289,127.2133,103.1633,-23.7754,-19.2806,-0.004
eIMF_2,0.6635,44.3459,34.7954,-62.9574,-49.3987,0.899
eIMF_3,0.2773,4.0079,3.0385,-0.7128,-0.5404,0.9951
eIMF_4,0.2073,1.2694,0.9542,0.8574,0.6445,0.9987
eIMF_5,0.1252,0.2596,0.1982,5.503,4.203,0.9989
eIMF_6,0.0212,0.1899,0.1712,0.0413,0.0372,0.9999
eIMF_7,0.0151,1.5157,0.201,-0.1182,-0.0157,0.58
eIMF_8,0.0,0.0044,0.0013,0.0001,0.0,1.0
eIMF_9,0.0,0.0005,0.0004,0.0,0.0,1.0
eIMF_10,0.0,0.0001,0.0001,0.0,0.0,1.0
eIMF_11,0.0102,4.6098,3.5695,-0.0131,-0.0102,-0.0676
All,5.3088,136.7937,105.4122,0.4763,0.367,0.5821
