,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.4333,1035.3122,842.6692,-16.0132,-13.0336,0.1912
eIMF_2,1.4482,479.4231,401.2178,52.7683,44.1605,0.8073
eIMF_3,0.4781,63.0895,48.2899,-2.6007,-1.9906,0.9834
eIMF_4,0.0883,10.1008,7.5615,-0.3252,-0.2434,0.9993
eIMF_5,0.0208,0.8201,0.6691,-0.0478,-0.039,1.0
eIMF_6,0.0221,1.6139,1.2891,0.0201,0.0161,0.9999
eIMF_7,0.0113,0.5969,0.4597,-0.0102,-0.0079,0.9996
eIMF_8,0.0,0.0057,0.0046,0.0,0.0,1.0
eIMF_9,0.0,0.0039,0.0018,0.0,0.0,0.9997
eIMF_10,0.0,0.0027,0.002,0.0,0.0,1.0
eIMF_11,0.0152,38.1839,30.667,-0.0188,-0.0151,-0.0969
All,196.538,1103.999,828.5818,0.5957,0.4471,0.6246
