,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.6183,179.4566,147.0873,-15.443,-12.6575,0.2391
eIMF_2,1.7255,63.0786,52.6867,-8.0703,-6.7407,0.8107
eIMF_3,0.4116,10.0826,8.0694,-8.8118,-7.0523,0.9872
eIMF_4,0.0396,1.5374,1.2139,0.8197,0.6473,0.9993
eIMF_5,0.0043,0.1353,0.1042,0.0391,0.0302,1.0
eIMF_6,0.0256,0.2876,0.2344,-0.056,-0.0456,0.9999
eIMF_7,0.0007,0.0096,0.008,-0.0007,-0.0006,1.0
eIMF_8,0.0002,0.0042,0.0041,-0.0002,-0.0002,1.0
eIMF_9,0.0,0.0005,0.0005,0.0,0.0,1.0
eIMF_10,0.0,0.0,0.0,0.0,0.0,1.0
eIMF_11,0.0294,6.1296,4.7292,-0.0374,-0.0289,-0.0375
All,22.5274,171.5325,122.6712,0.7871,0.5629,0.6649
