,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.9275,123.3788,101.1014,-23.0588,-18.8953,0.0556
eIMF_2,0.6704,44.412,34.6447,-63.0512,-49.1847,0.8987
eIMF_3,0.308,5.098,3.7557,-0.9067,-0.6679,0.9921
eIMF_4,0.3241,1.5927,1.3127,1.0757,0.8866,0.998
eIMF_5,0.0111,0.0293,0.0251,0.6204,0.5324,1.0
eIMF_6,0.0132,0.0944,0.0676,0.0205,0.0147,1.0
eIMF_7,0.0052,0.0883,0.0616,-0.0069,-0.0048,0.9986
eIMF_8,0.0,0.0006,0.0006,0.0,0.0,1.0
eIMF_9,0.0,0.0001,0.0001,0.0,0.0,1.0
eIMF_10,0.0,0.0001,0.0001,0.0,0.0,1.0
eIMF_11,0.0101,4.5831,3.5398,-0.013,-0.0101,-0.0553
All,6.0544,132.2239,103.5345,0.4604,0.3605,0.6096
