,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.4333,1035.3122,842.6692,-16.0132,-13.0336,0.1912
eIMF_2,1.4482,479.4231,401.2178,52.7683,44.1605,0.8073
eIMF_3,0.4781,63.0895,48.2899,-2.6007,-1.9906,0.9834
eIMF_4,0.1365,13.1597,10.7346,-0.4236,-0.3456,0.9989
eIMF_5,0.0169,1.0663,0.6091,-0.0622,-0.0355,0.9999
eIMF_6,0.0065,0.5038,0.3516,0.0063,0.0044,1.0
eIMF_7,0.0034,0.2675,0.1491,-0.0046,-0.0025,0.9999
eIMF_8,0.0,0.0058,0.0047,0.0,0.0,1.0
eIMF_9,0.0,0.0041,0.0023,0.0,0.0,0.9997
eIMF_10,0.0,0.0066,0.0049,0.0,0.0,1.0
eIMF_11,0.0153,38.4764,30.9448,-0.019,-0.0153,-0.1137
All,196.3765,1103.4745,828.7434,0.5955,0.4472,0.6249
