,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,2.0355,212.5929,165.16,-18.2946,-14.2128,-0.0679
eIMF_2,2.0164,135.5122,112.8218,-17.3374,-14.4344,0.1263
eIMF_3,1.8138,89.447,75.3287,-78.173,-65.8342,-0.004
eIMF_4,1.4486,49.5469,39.7364,26.4189,21.1879,0.2548
eIMF_5,0.7568,33.8226,24.8634,9.7886,7.1957,0.6583
eIMF_6,1.9418,13.7092,11.5496,-2.6691,-2.2487,0.7969
eIMF_7,0.2044,2.6296,1.6584,-0.1912,-0.1206,0.8998
eIMF_8,0.047,1.8153,0.8886,-0.0796,-0.039,0.6056
eIMF_9,0.0021,0.8809,0.3232,0.0058,0.0021,0.1045
eIMF_10,0.0001,0.0236,0.0228,0.0001,0.0001,0.9029
eIMF_11,0.0303,6.3841,4.8923,-0.039,-0.0299,-0.1254
All,31.5776,287.2798,205.9647,1.3182,0.9451,0.0601
