,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.4378,116.006,95.1107,-21.6809,-17.7756,0.1651
eIMF_2,1.7465,90.9036,71.0675,-129.0548,-100.8937,0.5754
eIMF_3,2.7003,50.962,40.5152,-9.0635,-7.2055,0.2068
eIMF_4,5.2253,23.5238,19.1759,15.8883,12.9517,0.5571
eIMF_5,1.691,6.3507,4.514,134.6486,95.7051,0.3349
eIMF_6,0.748,6.4203,3.9961,1.3967,0.8694,0.8645
eIMF_7,0.1609,3.6865,1.7777,-0.2874,-0.1386,-1.4843
eIMF_8,0.013,3.4774,0.7177,0.0645,0.0133,-21.5217
eIMF_9,0.0009,1.177,0.2643,0.0042,0.0009,-24.7431
eIMF_10,0.0001,0.0278,0.0258,0.0001,0.0001,0.8818
eIMF_11,0.0111,4.988,3.8749,-0.0142,-0.011,-0.25
All,5.926,153.2955,117.3229,0.5338,0.4085,0.4752
