,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.6575,860.6167,660.4336,-13.3112,-10.2149,0.4411
eIMF_2,1.8589,596.0179,470.5985,65.6014,51.797,0.7021
eIMF_3,1.5045,356.9874,278.065,-14.7157,-11.4624,0.4692
eIMF_4,1.5531,159.9997,131.9352,-5.1507,-4.2473,0.8312
eIMF_5,2.2804,93.102,64.6611,-5.4278,-3.7697,0.5326
eIMF_6,0.7722,63.988,49.6845,0.7985,0.62,0.862
eIMF_7,0.2181,16.4494,9.3738,-0.2813,-0.1603,0.7143
eIMF_8,0.0017,0.5399,0.4185,0.0022,0.0017,0.9495
eIMF_9,0.0044,45.0087,7.7291,0.0255,0.0044,-33262.0835
eIMF_10,0.0003,1.0275,0.601,0.0005,0.0003,0.6146
eIMF_11,0.0161,39.7821,32.6661,-0.0196,-0.0161,-0.1906
All,126.2753,1078.3454,751.5658,0.5819,0.4056,0.6418
