,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,2.112,180.2018,127.5382,-14.708,-10.4096,0.2289
eIMF_2,1.2197,58.9087,45.6183,-7.4719,-5.7862,0.8338
eIMF_3,0.3214,13.7324,9.4963,-12.8843,-8.9098,0.9762
eIMF_4,0.0668,2.7774,1.7849,2.0378,1.3095,0.9977
eIMF_5,0.0769,4.8469,3.7085,1.4695,1.1243,0.9929
eIMF_6,0.1285,1.7521,1.3319,-0.3353,-0.2549,0.9967
eIMF_7,0.6244,5.5804,4.2161,-0.4026,-0.3042,0.5582
eIMF_8,0.1617,3.6836,3.5786,-0.1619,-0.1573,-0.5625
eIMF_9,0.0019,0.3231,0.2875,0.0021,0.0019,0.8824
eIMF_10,0.0004,0.1194,0.1108,0.0004,0.0004,-1.4443
eIMF_11,0.0451,9.0252,7.2916,-0.0551,-0.0445,-1.2622
All,15.8955,155.5655,105.503,0.7185,0.4873,0.7236
