,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.9154,101.3924,80.3259,-18.2979,-14.4961,0.3583
eIMF_2,0.5622,36.6562,28.1057,-26.9771,-20.6844,0.9307
eIMF_3,0.3266,5.7523,4.325,-0.9957,-0.7486,0.9898
eIMF_4,0.4387,2.2268,1.8444,2.015,1.6689,0.9961
eIMF_5,0.2442,0.8718,0.5482,19.6513,12.357,0.9874
eIMF_6,0.3452,3.3627,3.134,0.7662,0.7141,0.9634
eIMF_7,0.0408,0.5924,0.4705,-0.0462,-0.0367,0.9359
eIMF_8,0.0317,2.3814,1.7228,0.0442,0.0319,-9.2357
eIMF_9,0.0038,1.0763,1.0587,0.0038,0.0038,-19.9171
eIMF_10,0.0008,0.2714,0.2574,0.0008,0.0008,-10.0797
eIMF_11,0.0128,5.5424,4.4757,-0.0158,-0.0127,-0.552
All,3.1084,106.9077,83.3743,0.3742,0.2919,0.7452
