,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.3592,738.7171,591.6655,-10.8238,-8.6692,0.5861
eIMF_2,0.7219,210.9922,163.7661,22.3179,17.3225,0.9624
eIMF_3,0.8919,119.8051,97.8962,-4.5127,-3.6875,0.94
eIMF_4,0.2334,23.3235,17.6363,-0.6853,-0.5182,0.9964
eIMF_5,0.0605,6.1654,3.7195,-0.3276,-0.1976,0.998
eIMF_6,0.1577,16.0004,14.6758,0.2055,0.1885,0.9915
eIMF_7,0.6962,21.4596,17.9609,-0.3659,-0.3062,0.5129
eIMF_8,0.0329,8.6945,8.0068,0.0357,0.0329,-11.6598
eIMF_9,0.0117,24.5411,20.7522,0.0139,0.0117,-9476.9713
eIMF_10,0.0069,15.2386,13.7505,0.0077,0.007,-81.7569
eIMF_11,0.0273,69.095,55.8183,-0.0341,-0.0275,-2.4948
All,146.7428,745.4749,573.1016,0.4049,0.3113,0.8289
