,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,2.1174,214.3357,166.8784,-18.4446,-14.3606,-0.0854
eIMF_2,1.8955,135.9047,111.6581,-17.3876,-14.2855,0.1213
eIMF_3,1.6877,86.8141,72.2712,-75.8719,-63.1621,0.0542
eIMF_4,1.4414,46.3443,38.911,24.7113,20.7478,0.348
eIMF_5,0.6923,32.9699,23.8554,9.5419,6.904,0.6753
eIMF_6,1.5663,11.9173,9.8663,-2.3203,-1.9209,0.8465
eIMF_7,0.2086,2.5948,1.6607,-0.1887,-0.1208,0.9024
eIMF_8,0.0498,1.8652,0.9369,-0.0818,-0.0411,0.5836
eIMF_9,0.0019,0.8219,0.2934,0.0054,0.0019,0.2204
eIMF_10,0.0001,0.0218,0.0179,0.0001,0.0001,0.9171
eIMF_11,0.0307,6.4105,4.9565,-0.0391,-0.0303,-0.1347
All,30.8386,286.6174,203.7799,1.3151,0.935,0.0644
