,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.3317,116.1845,94.1485,-21.7142,-17.5958,0.1626
eIMF_2,1.6796,89.8369,70.7561,-127.5405,-100.4517,0.5853
eIMF_3,2.0395,51.7909,40.1932,-9.2109,-7.1483,0.1808
eIMF_4,7.1818,24.9629,20.484,16.8603,13.8352,0.5013
eIMF_5,1.3847,6.6595,4.3694,141.1944,92.6405,0.2686
eIMF_6,0.8146,6.3754,4.1814,1.387,0.9097,0.8664
eIMF_7,0.1811,3.8516,2.051,-0.3003,-0.1599,-1.7118
eIMF_8,0.0131,2.9017,0.7197,0.0538,0.0133,-14.6817
eIMF_9,0.0011,1.1358,0.3018,0.004,0.0011,-22.9715
eIMF_10,0.0001,0.0306,0.0207,0.0001,0.0001,0.8567
eIMF_11,0.0114,4.9555,3.9804,-0.0141,-0.0113,-0.2338
All,6.9605,156.4432,121.0422,0.5447,0.4214,0.4534
