,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.6575,860.6167,660.4336,-13.3112,-10.2149,0.4411
eIMF_2,1.8589,596.0179,470.5985,65.6014,51.797,0.7021
eIMF_3,1.5045,356.9874,278.065,-14.7157,-11.4624,0.4692
eIMF_4,1.7313,164.8967,139.5399,-5.3084,-4.4921,0.8207
eIMF_5,1.6655,97.2414,69.9882,-5.6692,-4.0803,0.4901
eIMF_6,0.7768,65.2448,50.3672,0.8142,0.6285,0.8565
eIMF_7,0.2089,17.6644,9.6685,-0.3021,-0.1653,0.6705
eIMF_8,0.0017,0.5415,0.4152,0.0022,0.0017,0.9493
eIMF_9,0.0044,44.9266,7.7291,0.0254,0.0044,-33140.7562
eIMF_10,0.0003,1.0477,0.6298,0.0005,0.0003,0.5992
eIMF_11,0.0162,39.954,32.9287,-0.0197,-0.0162,-0.2009
All,131.5732,1084.9276,761.259,0.5854,0.4108,0.6374
