,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,2.3361,221.9102,159.8625,-18.1122,-13.0479,-0.1694
eIMF_2,1.429,65.6647,50.8159,-8.3288,-6.4454,0.7935
eIMF_3,0.2385,8.111,5.9523,-7.6101,-5.5847,0.9917
eIMF_4,0.1744,6.1125,5.1572,4.4847,3.7837,0.9887
eIMF_5,0.0708,3.7918,3.205,1.1496,0.9717,0.9957
eIMF_6,0.2314,2.4534,2.012,-0.4695,-0.385,0.9935
eIMF_7,0.454,3.7988,3.7288,-0.274,-0.269,0.7953
eIMF_8,0.057,1.2639,1.2121,-0.0555,-0.0533,0.816
eIMF_9,0.0043,0.6748,0.6583,0.0044,0.0043,0.4873
eIMF_10,0.0001,0.0393,0.0352,0.0001,0.0001,0.7352
eIMF_11,0.0325,6.7045,5.1811,-0.0409,-0.0316,-0.2484
All,13.5825,183.6979,118.7899,0.8484,0.5486,0.6145
