,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,2.1352,122.5108,90.8894,-22.1091,-16.4025,0.0631
eIMF_2,0.6113,32.5789,25.9698,-23.9764,-19.1125,0.9453
eIMF_3,0.2394,4.8337,3.5642,-0.8367,-0.6169,0.9928
eIMF_4,0.34,3.064,2.4653,2.7725,2.2308,0.9926
eIMF_5,0.9403,2.1976,1.9321,49.5383,43.5528,0.9198
eIMF_6,0.0897,0.8596,0.7215,0.1959,0.1644,0.9976
eIMF_7,0.0513,0.613,0.5704,-0.0479,-0.0445,0.9314
eIMF_8,0.0446,2.4929,2.4479,0.0462,0.0454,-10.217
eIMF_9,0.0022,0.6302,0.6103,0.0022,0.0022,-6.1707
eIMF_10,0.0001,0.0385,0.0278,0.0001,0.0001,0.7774
eIMF_11,0.0131,5.9087,4.5581,-0.0168,-0.013,-0.764
All,2.7018,120.0166,87.2164,0.4201,0.3053,0.6788
