Date,Product,y,월,일,요일,년월,공휴일여부,소비자물가지수(2020＝100)_전국,기업경기실사지수(실적)_제 조 업,기업경기실사지수(전망)_제 조 업,경제심리지수_경제심리지수(순환변동치),경제심리지수_경제심리지수(원계열),설비투자지수_총지수,수입물가지수(기본분류)_총지수,수출물가지수(기본분류)_총지수,평균기온(°C),일강수량(mm),평균 풍속(m/s),y_norm,Pred,Pred_norm
2022-07-31,Packaging material,49.4,7,31,6,22-Jul,0,108.74,80,83,100.0,97.8,126.3,130.33,111.91,26.9,38.0,1.8,0.050387596899224806,130.67102251052856,0.13328338
2022-08-01,Packaging material,236.81,8,1,0,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,32.0,1.8,0.24154426764585885,260.9713829755783,0.26618868
2022-08-02,Packaging material,96.45,8,2,1,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.1,49.0,1.9,0.09837821297429622,443.076161634922,0.45193407
2022-08-03,Packaging material,261.35,8,3,2,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.0,49.0,1.9,0.26657486740106084,477.95792613029477,0.48751318
2022-08-04,Packaging material,322.15,8,4,3,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.6,0.5,1.4,0.3285903712770298,363.9000489592552,0.37117508
2022-08-05,Packaging material,357.55,8,5,4,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.9,0.0,1.6,0.3646980824153407,274.5188966631889,0.28000703
2022-08-06,Packaging material,165.35,8,6,5,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.8,2.5,1.2,0.16865565075479397,182.48026170730589,0.18612838
2022-08-07,Packaging material,24.45,8,7,6,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,1.0,1.6,0.024938800489596083,162.9137556374073,0.1661707
2022-08-08,Packaging material,470.7,8,8,0,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.2,381.5,2.1,0.48011015911872706,288.69054025411606,0.294462
2022-08-09,Packaging material,381.8,8,9,1,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.3,134.0,1.5,0.38943288453692376,317.52104086875914,0.32386887
2022-08-10,Packaging material,785.27,8,10,2,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.9,11.5,0.9,0.8009689922480621,371.0215169548988,0.37843892
2022-08-11,Packaging material,471.9,8,11,3,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.2,50.5,0.9,0.4813341493268054,344.0044437289238,0.35088173
