Date,Product,y,월,일,요일,년월,공휴일여부,소비자물가지수(2020＝100)_전국,기업경기실사지수(실적)_제 조 업,기업경기실사지수(전망)_제 조 업,경제심리지수_경제심리지수(순환변동치),경제심리지수_경제심리지수(원계열),설비투자지수_총지수,수입물가지수(기본분류)_총지수,수출물가지수(기본분류)_총지수,평균기온(°C),일강수량(mm),평균 풍속(m/s),y_norm,Pred,Pred_norm
2022-07-31,Pharmaceuticals,0.0,7,31,6,22-Jul,0,108.74,80,83,100.0,97.8,126.3,130.33,111.91,26.9,38.0,1.8,0.0,1272.1439480781555,0.17379016
2022-08-01,Pharmaceuticals,1753.0,8,1,0,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,32.0,1.8,0.2394808743169399,1497.7896308898926,0.20461607
2022-08-02,Pharmaceuticals,474.0,8,2,1,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.1,49.0,1.9,0.06475409836065574,1713.331993818283,0.23406175
2022-08-03,Pharmaceuticals,27.0,8,3,2,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.0,49.0,1.9,0.0036885245901639345,2623.267571926117,0.3583699
2022-08-04,Pharmaceuticals,3.0,8,4,3,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.6,0.5,1.4,0.0004098360655737705,2660.401575565338,0.36344284
2022-08-05,Pharmaceuticals,7.0,8,5,4,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.9,0.0,1.6,0.0009562841530054645,385.97229436039925,0.052728456
2022-08-06,Pharmaceuticals,0.0,8,6,5,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.8,2.5,1.2,0.0,0.0,-0.019679025
2022-08-07,Pharmaceuticals,68.0,8,7,6,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,1.0,1.6,0.009289617486338797,1348.4465593099594,0.18421401
2022-08-08,Pharmaceuticals,205.0,8,8,0,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.2,381.5,2.1,0.028005464480874317,4400.5308294296265,0.6011654
2022-08-09,Pharmaceuticals,1753.0,8,9,1,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.3,134.0,1.5,0.2394808743169399,3190.697922706604,0.4358877
2022-08-10,Pharmaceuticals,1317.0,8,10,2,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.9,11.5,0.9,0.17991803278688526,3691.377818584442,0.5042866
2022-08-11,Pharmaceuticals,1753.0,8,11,3,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.2,50.5,0.9,0.2394808743169399,2381.6622519493103,0.3253637
2022-08-12,Pharmaceuticals,2628.0,8,12,4,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.2,0.0,0.9,0.3590163934426229,707.5767463445663,0.09666349
2022-08-13,Pharmaceuticals,0.0,8,13,5,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.2,3.5,0.9,0.0,842.1523323655128,0.11504813
2022-08-14,Pharmaceuticals,0.0,8,14,6,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.4,0.5,1.3,0.0,2645.2085280418396,0.3613673
2022-08-15,Pharmaceuticals,0.0,8,15,0,22-Aug,1,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.7,1.5,3.2,0.0,2586.4930844306946,0.35334605
2022-08-16,Pharmaceuticals,4560.0,8,16,1,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.4,0.0,1.5,0.6229508196721312,1822.1602356433868,0.248929
2022-08-17,Pharmaceuticals,1148.0,8,17,2,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.5,0.0,1.0,0.15683060109289618,2418.0924940109253,0.3303405
2022-08-18,Pharmaceuticals,3524.0,8,18,3,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.8,0.0,1.1,0.4814207650273224,2459.2601466178894,0.3359645
2022-08-19,Pharmaceuticals,1676.0,8,19,4,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.7,37.5,1.6,0.22896174863387977,586.840186715126,0.080169424
